date,real,nominal
1871.01,1.0,1.0
1871.02,0.982700824920843,1.0127068103199475
1871.03,0.9869708295736112,1.032178586454538
1871.04,1.0462917209950795,1.0542803415397735
1871.05,1.091613467395677,1.0749512405384314
1871.06,1.1081557199646033,1.0743190685813395
1871.07,1.10058721968525,1.0669816664236966
1871.08,1.131652339261056,1.0798248630531466
1871.09,1.1169072384559542,1.0913311488216961
1871.10,1.0704464140062095,1.062273368149753
1871.11,1.0822738896437263,1.07401053893923
1871.12,1.0762790586607847,1.0927142169007145
1872.01,1.09742844463297,1.1141865614051998
1872.02,1.1044925508354215,1.121358538983877
1872.03,1.1138883975352336,1.1479000907638073
1872.04,1.1121321656280136,1.1715642053306181
1872.05,1.116485702444167,1.1761503939672124
1872.06,1.1225692716580657,1.1739880544573928
1872.07,1.1397836163288835,1.1745859993964443
1872.08,1.1280243760359805,1.1710803637673666
1872.09,1.1124349907999598,1.163389577402734
1872.10,1.144924161199246,1.1711418102009408
1872.11,1.1137919220728605,1.173312658707336
1872.12,1.1514959372991105,1.195447819902319
1873.01,1.1618747219491021,1.2062227562969448
1873.02,1.1479634539878152,1.2180677506731898
1873.03,1.1484928850098581,1.2186295132030998
1873.04,1.144986650023898,1.2149091580403601
1873.05,1.1777555818251755,1.2227097787015184
1873.06,1.209718558345055,1.2189549714166417
1873.07,1.2146870199738369,1.2239613681201706
1873.08,1.221174136932234,1.2304980153527443
1873.09,1.1717013522029531,1.1806474972470435
1873.10,1.1430388316788416,1.1255916556509447
1873.11,1.161379887084549,1.108190947002895
1873.12,1.2051939343720515,1.1775961652549158
1874.01,1.2322463802303152,1.2228379632929516
1874.02,1.2623257384794928,1.2526876603735861
1874.03,1.2591971801359017,1.249582989120906
1874.04,1.265852032166733,1.2368652515965202
1874.05,1.2640197769297934,1.2254239408365668
1874.06,1.2995307815872932,1.2300926551408349
1874.07,1.297505857245505,1.2380826124794264
1874.08,1.3182146946464846,1.2477782263862724
1874.09,1.3391268675974985,1.2675729944014305
1874.10,1.3679986645596498,1.274012259201846
1874.11,1.3954322461813895,1.2889157533094258
1874.12,1.3988090751398992,1.292034821291956
1875.01,1.4076851324921464,1.3002333491530516
1875.02,1.4149980375076545,1.30698804362334
1875.03,1.4354204916657636,1.3258516057616374
1875.04,1.4439411750782327,1.3447372473920818
1875.05,1.4553111528747333,1.3220008568155968
1875.06,1.471799089661693,1.314513131518945
1875.07,1.4833075306457273,1.324791706158029
1875.08,1.4841809021177874,1.3368940806178735
1875.09,1.4982115591715728,1.3381029939196356
1875.10,1.4933090552104746,1.3337244032006614
1875.11,1.5304691621868833,1.3552279422188624
1875.12,1.553443702233082,1.363711045140093
1876.01,1.5962294767263965,1.3890836100271342
1876.02,1.6175174118798146,1.4076089675926255
1876.03,1.623807729194683,1.4130829779472476
1876.04,1.6096701122613604,1.3885003738281305
1876.05,1.6407498040614847,1.3652107083044942
1876.06,1.6891680634176633,1.3668065731485284
1876.07,1.6862432829996832,1.3644399589631862
1876.08,1.638173251146771,1.338051370380891
1876.09,1.572771851583696,1.2966402355008366
1876.10,1.54832818520148,1.300121597494703
1876.11,1.5259546096226453,1.2929855752189927
1876.12,1.5029850021181568,1.2964738684048371
1877.01,1.4781726740045626,1.2976333801260815
1877.02,1.4726125337106508,1.2590309426333006
1877.03,1.5033777843963811,1.2279511359397344
1877.04,1.4073810406386913,1.1817691522555533
1877.05,1.390663810462714,1.1889677210345646
1877.06,1.4151285482211178,1.145064865626995
1877.07,1.44739851857011,1.1822275634791757
1877.08,1.5755432527275184,1.2387875571632443
1877.09,1.6589269778099784,1.2916826955994012
1877.10,1.6886732563076912,1.314843903842997
1877.11,1.7150263076259242,1.3091851511587302
1877.12,1.719864954196082,1.312878787934556
1878.01,1.7813224526966396,1.3189909531584907
1878.02,1.7850035590975764,1.3080994349541453
1878.03,1.8522207785703373,1.329073992076205
1878.04,1.9120369599907219,1.3573967750657208
1878.05,1.9883142651982846,1.3660172365458292
1878.06,2.0682664476004042,1.3893764955710217
1878.07,2.0793385017250725,1.4126768490361967
1878.08,2.0546071456342503,1.4115619569760127
1878.09,2.0886422159240494,1.4349448263124545
1878.10,2.106847439213103,1.4313660807792177
1878.11,2.13634236138934,1.4351070998858595
1878.12,2.1879419486115683,1.4363589447517238
1879.01,2.221130743619368,1.475105732365948
1879.02,2.2536247677909205,1.5138926059735394
1879.03,2.2675233126391423,1.505916140396561
1879.04,2.349453079899257,1.5423891610695097
1879.05,2.4234236689416147,1.59095000944438
1879.06,2.4700329212949206,1.6026957384450302
1879.07,2.4815056158481754,1.6290801454019512
1879.08,2.5032522600702456,1.6433565694023802
1879.09,2.4827839616610055,1.6867727024181354
1879.10,2.5144171378480626,1.8042376275057255
1879.11,2.4735365292672493,1.8693168099294695
1879.12,2.4072887489276646,1.874376185265203
1880.01,2.401971499237638,1.9252544584529512
1880.02,2.4376037250855003,1.9538147897058291
1880.03,2.452797970675909,1.9847050518716018
1880.04,2.525247595015761,1.966221939974678
1880.05,2.4895510788571924,1.8814194275369784
1880.06,2.5589527043177034,1.894791962817251
1880.07,2.6413092733924457,1.9557733810766527
1880.08,2.7102938363807483,2.0068534167835055
1880.09,2.6916507888509336,2.0136002847964325
1880.10,2.7506989546044207,2.0577736983277943
1880.11,2.821079888293416,2.1319644949424
1880.12,2.873997480772777,2.193899189513776
1881.01,3.0201835318393484,2.2824323709550787
1881.02,2.995048927628485,2.2863052103690196
1881.03,3.026460942368908,2.310283934825479
1881.04,3.0018210573080735,2.3143747171509608
1881.05,3.1250442483383525,2.3855386406882686
1881.06,3.1596111422768645,2.4119256786390877
1881.07,3.0742672406804212,2.3702300169673336
1881.08,2.9833010194051024,2.3456520001679775
1881.09,2.8968693993472994,2.3661478216041525
1881.10,2.853731322933867,2.352701601887852
1881.11,2.9031581616329074,2.3712844498505037
1881.12,2.8641695178608626,2.339438728897633
1882.01,2.850157997423671,2.3279941920582115
1882.02,2.79751807125197,2.306357713023305
1882.03,2.805648565612212,2.3130607361676896
1882.04,2.7908775391585245,2.3221918982371146
1882.05,2.7563448249012095,2.314485695763844
1882.06,2.733774304554601,2.3164062151019946
1882.07,2.8629083968188187,2.4039664677864994
1882.08,2.899094218958409,2.456486570882317
1882.09,3.008208065910434,2.480056857000567
1882.10,2.998067535214621,2.4488059313507686
1882.11,2.960131896307895,2.3952191737950566
1882.12,3.0093241815948852,2.4120664210148597
1883.01,3.0118712152640414,2.4141079472898097
1883.02,2.9553745302406442,2.391369705318583
1883.03,3.0177256373230725,2.4188004476689327
1883.04,3.0972334439850315,2.458880494361326
1883.05,3.107848416787021,2.4435787095024812
1883.06,3.230693517137447,2.4661872309329387
1883.07,3.2793553729847416,2.453256915920264
1883.08,3.2034767318906843,2.396492771793609
1883.09,3.2714982924731077,2.4224006408907828
1883.10,3.2320080455766633,2.3931598494127697
1883.11,3.308813991871179,2.4247894022817795
1883.12,3.245481478310015,2.4031363339377227
1884.01,3.20111939624279,2.3702881627257315
1884.02,3.267875053307196,2.419717791598824
1884.03,3.275326983910418,2.42523561855617
1884.04,3.2685485933966953,2.3703258758759347
1884.05,3.1920733684452145,2.266122562882746
1884.06,3.1295030205855796,2.2217025071115324
1884.07,3.1794388114309724,2.232898102997301
1884.08,3.3151587271914367,2.3282132703629843
1884.09,3.304006939664588,2.2951547749492014
1884.10,3.2915095771897387,2.2613421305652963
1884.11,3.342089905528099,2.2450788031750943
1884.12,3.392822338446466,2.253253976479685
1885.01,3.362743345087332,2.2332778018869397
1885.02,3.402667237213844,2.285772167855565
1885.03,3.5037765737007738,2.300189374421158
1885.04,3.4755712972662134,2.308209527319262
1885.05,3.5499803982765346,2.3034261636069355
1885.06,3.642723564635368,2.307989296430204
1885.07,3.696642773181564,2.3703692182756315
1885.08,3.8376777094685406,2.4608039430214017
1885.09,3.8709185013666456,2.4525710803976835
1885.10,4.022292354694732,2.548479876945518
1885.11,4.145622625192177,2.658265043253046
1885.12,4.04623040560949,2.656304130606244
1886.01,4.158471312836654,2.6665039063394826
1886.02,4.218839895284752,2.7052135784300715
1886.03,4.228981797542644,2.6794360182265407
1886.04,4.258582487119306,2.665681198753414
1886.05,4.326894893264626,2.642382552280807
1886.06,4.515313505233052,2.722978186197794
1886.07,4.512562876267902,2.755767751345548
1886.08,4.489650811343034,2.7760461474589047
1886.09,4.572578774629112,2.827322262834137
1886.10,4.654927368458085,2.8782401418081576
1886.11,4.736721494655474,2.9288151817068853
1886.12,4.618607730407805,2.891040816657625
1887.01,4.4921429646515065,2.880461559540683
1887.02,4.432502874319965,2.876056187782988
1887.03,4.507379513100486,2.924640345851503
1887.04,4.581973058047784,2.9730408167812055
1887.05,4.642079020454896,3.0120409325183326
1887.06,4.629122405564019,2.968295810832478
1887.07,4.6295652622941885,2.9332412638260745
1887.08,4.51911174751147,2.897754540406832
1887.09,4.552082326413766,2.8841489340088633
1887.10,4.42139981112446,2.8350994827014486
1887.11,4.4336704381192735,2.8768137685866195
1887.12,4.330712099098842,2.876128864074651
1888.01,4.314516598348476,2.898315136548867
1888.02,4.367461030163211,2.9005347028696415
1888.03,4.286313095433045,2.846642430190965
1888.04,4.364689257898019,2.865368736415489
1888.05,4.470882342920314,2.900958937150924
1888.06,4.4587933382275295,2.859077040460318
1888.07,4.49336829719038,2.915549084016097
1888.08,4.569495618078831,2.964944754703431
1888.09,4.655807947446667,3.0209490294887944
1888.10,4.604487052439414,3.022793254620756
1888.11,4.513369797661487,2.997436184224329
1888.12,4.479614752787809,2.9750186564257204
1889.01,4.712327876414491,3.0216490015510757
1889.02,4.818138653813073,3.0527192756747965
1889.03,4.832647863984961,3.025020318424007
1889.04,4.843570532431356,3.031857417859286
1889.05,5.062101249088599,3.0913642111556894
1889.06,5.130417521440187,3.133084135154698
1889.07,5.084768260009173,3.105206681482879
1889.08,5.142023172014134,3.140171566058602
1889.09,5.169069333381268,3.1961450036664427
1889.10,5.129441529292227,3.171642293434345
1889.11,5.117722649838044,3.164396262166362
1889.12,5.054890782788454,3.164134394998182
1890.01,5.233382738207752,3.1959637518289896
1890.02,5.212101698031308,3.1829676771279023
1890.03,5.20242190213387,3.1770563424595135
1890.04,5.281372602985736,3.2252705837497406
1890.05,5.363489861725857,3.316359332436584
1890.06,5.3543249682610865,3.310692484776524
1890.07,5.345119035435256,3.3050002616106724
1890.08,5.095062985066436,3.267067229918633
1890.09,4.998232345840879,3.243133162872045
1890.10,4.876417316196285,3.16409274717281
1890.11,4.789663896583343,3.0346779849376446
1890.12,4.736800739691171,3.001184474349268
1891.01,4.959223779161829,3.104251151294461
1891.02,4.953233322630443,3.138313761257588
1891.03,4.857494009680014,3.1147327412959758
1891.04,4.913183632087114,3.187948792688861
1891.05,4.97694247634708,3.191325743630944
1891.06,5.05428584186511,3.163755729174381
1891.07,5.084096120268429,3.1436042670231563
