date,real,nominal
1871.01,0.0,0.0
1871.02,0.0,0.0
1871.03,8.182219090446807e-05,8.557001971865041e-05
1871.04,0.0003590797179671146,0.0003618213545053539
1871.05,0.0008136484731859905,0.0008012290629757501
1871.06,0.0006324478453536564,0.0006131365546422352
1871.07,0.00022006689625775344,0.00021334732903821596
1871.08,0.0004554783196359935,0.00043461829844826383
1871.09,0.0006724967825091355,0.0006570972601533942
1871.10,-0.0005565442717319069,-0.0005522949587402071
1871.11,-0.0004551093851905552,-0.0004516345453238202
1871.12,-0.0001848735586855721,-0.00018769664268702968
1872.01,-0.00018850641042345018,-0.00019138496934356652
1872.02,-0.00015230838906887811,-0.00015463419152261793
1872.03,0.0001224598939988386,0.0001261991091272563
1872.04,0.0006119499146395313,0.0006446523512264601
1872.05,0.0006474326497112326,0.0006820312739859169
1872.06,0.00044175479527819306,0.00046198917585704713
1872.07,0.00034589988850153297,0.0003564616655356012
1872.08,0.00011650073425761853,0.00012094749471036614
1872.09,-0.00019547212120119006,-0.00020442563417977233
1872.10,-0.00011429325985301553,-0.00011691046426820506
1872.11,-0.00014773951539259755,-0.00015563467481305437
1872.12,0.0002606753306311216,0.0002706251456141562
1873.01,0.00026302487701901356,0.00027306437272400785
1873.02,0.00027927211374034755,0.00029632681617886014
1873.03,0.00024152656348364054,0.00025627620538659635
1873.04,0.00020687155308452,0.000219504868790521
1873.05,0.00021012942724474293,0.0002181499365827566
1873.06,0.00022957650201016477,0.00023132935881298167
1873.07,0.0002406580897449384,0.00024249555641087106
1873.08,0.00024159013289515308,0.00024343471587395804
1873.09,0.000664871616940621,0.000669948028186651
1873.10,0.0031198904056666255,0.0030722688589737146
1873.11,0.005047615738714928,0.004816444754899063
1873.12,-0.0007055281920260725,-0.0006893722825125348
1874.01,-0.0007213648658357386,-0.0007158571187395601
1874.02,-0.0002854849388129743,-0.000283305211302487
1874.03,-0.0006759756034058206,-0.0006708144112779202
1874.04,-0.0012553458766595416,-0.001226599676833251
1874.05,-0.0015582648799183918,-0.0015106845042049954
1874.06,-0.001617786698892898,-0.0015313431309889047
1874.07,-0.001616333176561513,-0.0015423082606522698
1874.08,-0.0016406043284418192,-0.001552941540902797
1874.09,-0.0016440514935560646,-0.0015562045128527657
1874.10,-0.0016989162991847273,-0.0015821946677236909
1874.11,-0.0016895916060613025,-0.0015606212653260787
1874.12,-0.001753922572274469,-0.001620041703691788
1875.01,-0.0017650519805831877,-0.0016303215791448888
1875.02,-0.0017732188376826663,-0.0016378650416091212
1875.03,-0.0018164831347207144,-0.0016778268772057459
1875.04,-0.0017983396412994956,-0.0016747872703237743
1875.05,-0.0020801382420010395,-0.0018895921554564765
1875.06,-0.0019352083058414848,-0.0017283994453602958
1875.07,-0.0019661562676465127,-0.0017560401080511934
1875.08,-0.0020165193056964625,-0.0018164044015052117
1875.09,-0.0018879831924094592,-0.0016862211126109639
1875.10,-0.0015707248670502327,-0.0014028670613017713
