peak_date,peak_value,trough_date,trough_value,recovery_date,recovery_value,depth
1876.06,1.6891680634176633,1877.05,1.390663810462714,1877.11,1.7150263076259242,0.1767167278494427
1901.06,11.274502438166586,1903.10,9.370034511097918,1905.01,11.390477884618077,0.16891813519163723
1906.09,13.249875119019062,1907.10,9.934049731486839,1909.01,13.326804575674513,0.25025333127650684
1915.12,16.40992953311131,1920.06,9.244184222221685,1924.08,16.49384061781573,0.43667130297122025
1929.09,42.62009197053627,1932.06,21.1601944393917,1935.08,43.9336663465934,0.5035159836346677
1937.02,59.6046948268306,1942.05,41.2148898401186,1945.02,60.04080749984876,0.3085294713803982
1946.04,72.48782593067068,1948.02,51.29117519857034,1951.08,73.78792331061656,0.29241669838978734
1968.11,240.76727342580136,1970.06,182.82071229189657,1972.03,242.00879345924093,0.24067457470195808
1973.01,254.90049738699736,1974.12,160.61262038877416,1985.01,256.17285200583433,0.369900717985154
1987.08,432.54065977814923,1987.12,362.07529846047635,1989.06,445.67514606647387,0.16291037553282195
2000.08,1370.6018878783584,2003.02,1059.9737339738797,2006.10,1392.17492573513,0.226636309676561
2007.10,1501.0829457787645,2009.03,1076.285354258492,2011.05,1501.9296770436085,0.28299408284855765
2021.12,3465.8664601938813,2022.10,2638.145448205356,2024.12,3465.9489258770936,0.2388208032522472
